"Gene_ID","s1C104_Pre","s1C110_Pre","s1C125_Pre","s1C113_Pre","s1C114_Pre"
"MIR6748",0,0,0,0,0
"LOC388780",0,0,0,0,0
"MIR5700",0,0,0,0,0
"LOC646813",2,0,0,9,8
"CD300A",1718,1095,797,506,306
"MIR4318",0,0,0,0,0
"LINC00421",0,0,0,0,0
"LRGUK",34,62,34,29,23
"LINC01924",0,0,0,0,0
"OR14I1",0,0,0,0,0
"VPS45",1011,823,841,1004,789
"SLC25A5-AS1",58,47,59,66,78
"FKBP5",12956,9220,5688,7573,9787
"FAM46A",1251,733,464,525,936
"LIFR",8,0,0,3,0
"SLC4A1",0,0,0,0,9
"CCER1",0,0,0,0,0
"C2ORF88",110,1206,1511,23,116
"ZNF300P1",0,0,0,0,0
"MAB21L2",0,0,0,1,0
"SNORA60",8,14,5,0,0
"CCDC148-AS1",0,0,0,0,0
"TMEM9B",1048,1180,797,1038,740
"MFAP5",0,0,3,0,0
"LOC100132249",138,29,74,29,22
"LDHAL6A",0,12,9,0,0
"DHRS12",438,363,331,417,360
"SLC27A2",51,28,16,8,36
"CAPN10-AS1",117,86,69,56,57
"OR7E156P",0,0,0,0,0
"OR8B4",0,0,0,0,0
"IGLL1",98,0,0,0,0
"ERI3-IT1",94,91,102,104,55
"SNORD83B",6,0,0,17,5
"ARGLU1",4288,1821,3527,5953,3344
"LOC105755953",6,3,0,4,0
"COG3",2982,2419,2270,2775,2108
"YWHAG",2104,2294,1682,2309,1195
"LOC102546299",0,0,0,0,0
"UGT1A7",0,0,0,0,0
"SORCS1",7,0,0,0,0
"PKNOX2-AS1",0,0,0,0,0
"MIR559",0,0,0,0,0
"DZIP1L",0,0,5,4,0
"ZBTB9",481,198,239,359,245
"SNX29",2330,2602,2188,2595,2471
"ASCL5",1,0,0,0,0
"LYL1",125,154,99,39,57
"IP6K3",0,0,0,0,0
"CLPP",796,733,555,686,656
"CCL23",0,0,0,0,0
"AFAP1L2",49,77,68,70,92
"LOC102724927",31,10,13,10,8
"GPATCH2L",6327,4238,4503,5736,4609
"USP54",341,229,230,305,208
"CCT3",3322,3219,2199,3237,2232
"SNORA28",552,388,459,673,777
"FAM98B",1793,1708,1232,2260,1217
"GAGE6",0,0,0,0,0
"PDPK1",3042,2585,2480,3053,2068
"LINC00399",0,0,0,0,0
"CST1",0,0,0,0,0
"NUP210",16020,12501,13121,16086,11629
"ZNF664",2398,2538,1876,2573,2122
"ABCD2",2409,1714,2057,2613,1141
"MIRLET7G",42,2,17,19,9
"NRAP",0,0,0,0,0
"KISS1R",29,6,23,17,10
"GTPBP6",0,0,0,0,0
"MIR3681HG",0,3,0,0,0
"GAGE2E",0,0,0,0,0
"IL1A",7,2,6,1,0
"TMEM115",687,577,399,575,370
"ZNF697",14,25,26,0,0
"FGFR1OP",786,481,605,888,497
"LOC286059",0,0,0,0,0
"LINC01660",0,0,0,0,0
"SNORA46",31,6,31,11,9
"CLIC5",530,447,333,424,379
"TM4SF20",0,0,0,0,0
"TMEM30A",6177,6651,4829,6346,3917
"MERTK",49,60,38,17,13
"OTOP1",0,0,0,0,0
"GYG1",847,633,564,472,349
"DNM3OS",0,0,0,0,0
"ADARB1",3184,1582,2284,3262,1998
"OR2Y1",0,0,0,0,0
"SAP30BP",1757,1135,1049,1920,1600
"LINC01291",0,1,0,0,0
"DNM1L",2571,1984,2038,2584,2221
"MINDY2",2095,1241,1663,1881,1782
"LINC02060",0,0,0,0,0
"LOC100128164",41,13,15,24,35
"ADRM1",965,971,681,1015,791
"HYAL1",10,0,7,13,0
"H1FX",4181,5645,3222,3707,3669
"RXFP2",0,0,0,0,0
"BAIAP2",58,73,112,128,166
"PUS1",297,373,318,325,359
"CSH2",0,0,0,0,0
"HDGFL1",0,0,0,0,0
"PPM1L",1895,1047,879,659,573
"TRIOBP",1585,1066,953,1228,884
"RANBP10",1525,1006,1280,1378,1172
"CXXC5-AS1",0,0,0,0,0
"LOC340357",16,0,6,0,0
"LOC100507250",60,57,45,80,65
"FAM27E3",28,7,15,5,21
"REST",7381,7089,5631,6949,5611
"PIP",0,0,0,0,0
"CCNB2",68,102,44,25,6
"CROCCP3",759,224,461,468,312
"CMTM1",76,59,44,30,51
"MIR101-2",0,3,0,0,4
"SIAH1",733,727,603,1648,687
"GAS8",153,59,138,141,150
"LOC400541",0,3,0,0,1
"PJA2",8596,9832,6600,10928,7354
"ZNF101",3043,3926,2673,5036,2205
"POU4F2",0,0,0,0,0
"NOXO1",2,4,7,0,0
"SLC22A14",3,2,1,8,13
"TFAP2A-AS2",0,0,0,0,0
"LOC642929",0,0,0,0,0
"CMTM5",0,31,15,2,7
"LOC643387",3,1,13,19,0
"TIMM13",218,286,233,309,242
"DCST1-AS1",29,14,20,44,17
"RAD9B",31,50,23,42,30
"AKNA",29042,18663,18197,21299,16333
"MPHOSPH8",5114,3144,3855,5396,3697
"ATP5B",5652,5023,3932,5887,4042
"GLI4",413,243,247,400,224
"HEXA-AS1",80,32,26,28,24
"MTTP",18,3,0,1,0
"LINC00964",0,0,0,0,0
"STEAP3",21,27,3,2,9
"HAS3",143,75,79,156,112
"MON2",7422,5014,5627,7237,5444
"TRIM50",0,0,4,6,5
"VIM-AS1",689,522,653,441,447
"LOC105377621",5,3,7,0,0
"NISCH",4934,2845,3802,5381,3880
"LINC01963",755,587,554,612,383
"IGHMBP2",955,480,656,637,467
"ZNF37A",1787,1132,1501,1699,1178
"UHRF2",4235,2315,2947,4762,3735
"LOC105376997",0,0,0,0,0
"C3ORF18",251,250,270,374,252
"NDUFS2",999,1076,946,1052,837
"REL",6872,5999,5284,8096,7344
"TMEM154",1808,2540,1900,1865,1359
"MTRNR2L3",0,0,0,0,0
"CASP6",289,447,350,495,285
"LOC101926960",0,0,0,0,0
"MIR4269",0,0,0,0,0
"LOC101928068",330,176,205,163,138
"MIR619",9,11,3,6,0
"HCRT",12,0,11,0,0
"FLG",0,0,0,0,0
"LINC01833",0,1,0,0,0
"VGLL3",0,0,0,0,0
"F2RL2",1,5,0,0,0
"CHGA",0,0,0,0,0
"ZNF716",0,0,0,0,0
"PTPDC1",267,295,221,349,268
"GLCCI1",3543,3446,2482,2702,2160
"HAUS8",213,151,148,439,258
"CACNA2D3",29,57,64,0,2
"MS4A2",32,22,42,17,20
"LINC00359",0,0,0,0,0
"LOC101929798",5,3,0,2,0
"SASH3",7370,5009,4796,3791,3725
"OR5T2",0,0,0,0,0
"SDR42E1",150,221,214,198,138
"LOC100505782",0,0,0,0,0
"LINC01225",0,12,2,0,0
"LINC02289",0,0,0,0,0
"CIB1",1625,965,1016,1904,2132
"LOR",0,0,0,0,0
"HSFX2",0,0,0,0,0
"SPRR4",0,0,0,0,0
"MIR3926-2",0,0,0,0,0
"ACACB",1846,1156,1112,1965,1062
"LOC105373878",0,0,0,0,0
"TPPP3",17,78,19,2,0
"SNORA116",14,18,24,6,22
"MSH5-SAPCD1",11,0,13,14,12
"C3ORF79",0,0,0,0,0
"NYAP2",0,13,0,7,21
"NETO1",8,6,17,4,10
"STRBP",1127,1437,1178,1589,1218
"NAALADL1",149,133,108,137,72
"LILRA6",117,251,310,12,27
"LOC100130476",646,280,365,475,519
"GOLGA7",3541,3759,2446,4745,2497
"FCRLB",34,36,23,4,3
"HOXA11-AS",0,0,0,0,0
"KCNG3",4,3,0,5,0
"C2CD5",3607,2535,2897,3193,2405
"ATP5L2",67,40,58,94,64
"SH3GL3",0,0,2,0,0
"AP3S2",25,62,59,84,58
"PRKG1-AS1",0,0,0,0,0
"KIAA1586",759,657,730,977,481
"LDHC",39,1,9,89,43
"PPP3CB",3601,3047,2513,3128,2488
"KCNA5",0,0,1,0,0
"GDF2",0,0,0,0,0
"LOC285819",4,0,4,0,0
"SLC43A3",777,688,531,342,319
"PPP1R2P2",0,0,0,0,0
"GHITM",3212,3708,2397,3596,2386
"OMD",0,0,4,0,0
"UG0898H09",0,0,0,0,0
"GPATCH8",8323,7226,6524,8966,6426
"LOC101927752",359,282,190,174,297
"TEX2",1013,916,839,1067,796
"SLC8A3",27,46,6,7,0
"PPIAL4E",0,0,0,0,0
"RFX3-AS1",265,70,152,123,143
"SOS1",7714,6706,6285,8556,8591
"ZNF513",534,166,355,517,366
"EFCAB14",10508,10425,7379,9549,6984
"PCOLCE-AS1",27,10,24,26,4
"LOC100506274",8,4,11,11,12
"TBX4",0,0,0,0,0
"TOMM34",350,276,145,360,197
"NECAB1",0,2,0,0,0
"PARGP1",801,465,694,650,586
"PMCH",14,5,0,0,0
"LOC440895",0,0,0,0,0
"GYG2P1",0,0,0,0,0
"PHKA2-AS1",10,8,12,17,6
"RPH3A",53,117,90,2,10
"PLPPR1",0,0,0,0,0
"XGY2",0,0,0,0,0
"SLC29A4",6,12,0,3,0
"ZNF606",245,226,259,186,152
"UPK3BL1",26,2,11,9,1
"NEURL1",137,71,49,43,47
"PRKAB2",1310,694,1129,873,773
"HS3ST2",0,0,0,0,0
"ZNRF2",2035,1464,1495,1906,1575
"HRASLS",0,0,1,0,0
"WDR76",890,621,553,728,549
"LINC01467",0,0,0,0,0
"OSBPL6",17,10,20,24,7
"FOLR2",10,5,12,0,0
"SRGAP3-AS2",0,0,0,0,0
"MIR98",8,14,21,15,9
"PFN1P2",30,20,23,20,13
"CBFA2T2",2811,2155,2039,3011,2309
"CKB",84,49,5,2,0
"SERINC4",25,0,2,7,7
"MITF",20,105,71,6,39
"AFF1-AS1",73,48,70,97,51
"HLA-DPB1",7493,6629,2793,1613,1785
"RABGAP1L",8380,7212,5675,7147,5356
"TRPM3",0,0,0,4,0
"HSPA13",1217,1557,873,2182,1412
"CPSF3",977,893,739,795,467
"SLC11A2",2102,948,1746,2452,1317
"ZSCAN4",0,0,0,0,0
"IGDCC4",2,3,4,2,5
"DNAJB1",10710,10435,8584,23015,22228
"CYB5A",128,101,141,141,87
"PITPNM2-AS1",0,0,2,1,0
"FZD10",0,0,0,0,0
"AQR",4943,3955,4067,5229,3959
"NUF2",102,70,99,92,43
"MIR3137",6,2,5,3,0
"SAMD4B",2010,1355,1653,2672,1901
"CYP2R1",529,318,401,431,265
"MTCP1",103,82,47,97,55
"LOC105369980",0,0,0,0,0
"GPR135",42,46,26,47,24
"LINC02106",0,0,0,0,0
"ZBTB17",999,378,621,1121,679
"CRYGB",0,0,0,0,0
"HS3ST1",3,7,23,8,6
"GLTP",1427,1565,1021,1213,907
"EIF4G1",7542,6623,5493,9229,6174
"ABAT",565,318,404,459,274
"THEMIS2",843,2229,2420,949,1230
"SMG5",2312,1410,1831,2843,2166
"FXR2",684,509,460,539,440
"APLP2",2626,4137,3107,1755,1702
"RPL28",13907,16648,9319,20895,12749
"SAXO1",28,21,10,33,7
"MYL10",0,0,0,0,0
"NMBR",0,0,0,0,0
"NDUFB6",367,278,229,320,211
"MIR6846",0,0,0,0,0
"PHTF2",3722,2554,3235,4167,3131
"KIFC2",874,200,769,914,840
"PPM1E",0,0,4,0,0
"MIR2681",0,0,0,0,0
"TRIM77",0,0,0,0,0
"SLC43A1",348,338,232,323,250
"LOC101928307",0,0,2,0,0
"SCHIP1",0,0,0,0,0
"LINC01571",0,0,0,0,0
"PHLPP1",582,437,384,473,347
"HSPA14",1794,1087,1029,2060,1338
"OR7A5",0,0,0,0,0
"LINC02273",251,172,271,605,361
"C7ORF66",0,0,0,0,0
"ZNF512B",1444,823,1073,1560,990
"COX5A",462,493,287,368,368
"AGPAT4-IT1",126,62,105,75,45
"OR2W1",0,0,0,0,0
"SLC7A4",0,0,0,0,0
"RXFP1",0,0,0,0,10
"MRPS11",401,469,384,384,254
"IFT81",48,57,36,58,27
"LINC01280",0,0,0,0,0
"SNORA23",95,112,31,23,61
"MIR6727",0,0,0,0,0
"SNORA2B",100,32,71,109,201
"COL19A1",82,143,251,50,177
"FUCA2",309,396,239,217,208
"MIR4437",9,0,0,0,3
"PDE1C",0,5,0,2,0
"PALB2",741,830,441,696,568
"SNAR-A11",0,0,0,0,0
"TMEM150A",234,142,152,181,146
"KRT18P55",0,0,0,0,0
"C19ORF12",1183,799,717,931,794
"CYLC2",0,0,0,0,0
"REXO4",659,748,449,670,518
"CDK5RAP2",4255,2972,2858,3837,3003
"MIR7702",0,0,0,0,0
"PHYHIP",0,0,0,0,0
"OST4",2637,5029,3759,3571,2521
"MRGPRX3",0,0,0,0,0
"HELT",0,0,0,0,0
"TUBB2B",5,6,0,3,0
"GOLGA8K",0,0,0,0,0
"MIR668",0,0,0,0,0
"GJB6",9,10,8,49,58
"TBX5",0,0,0,0,0
"VLDLR",6,13,23,0,24
"C1ORF56",29,22,17,18,16
"PCSK1N",16,23,12,46,45
"OSM",153,200,101,772,366
"ERG",104,40,11,8,15
"USP14",2736,2419,2270,3319,2360
"LINC01213",0,0,0,0,0
"CMTR2",890,986,725,794,525
"MND1",19,31,19,5,4
"MEGF11",0,0,0,0,0
"TPK1",731,686,639,707,508
"IFNAR2",2818,2994,2900,2975,2072
"KDM2B",3411,2922,2611,3329,2713
"KIRREL2",0,0,0,3,0
"OR5W2",0,0,0,0,0
"SCGB1D4",0,0,0,0,0
"HSD17B7P2",245,188,263,249,279
"MDM4",13944,8774,12566,17935,13118
"SAP130",2694,1930,1879,2603,2010
"SNORD14B",292,135,285,353,222
"HOXD8",0,0,0,0,0
"POLR2C",1796,1594,1095,1926,1322
"IL20RB",42,67,61,67,34
"DBET",0,0,0,0,0
"VIP",0,0,0,0,0
"PAGE3",0,0,0,0,0
"ADCK5",191,93,151,228,188
"SCGB3A1",5,0,24,0,0
"DEFB132",0,0,0,0,0
"COLEC11",0,2,0,4,0
"LILRB5",4,3,11,0,0
"LY6G6F-LY6G6D",0,0,0,0,0
"METTL2A",513,441,269,462,360
"LRRC37A6P",11,9,11,0,0
"SMS",1067,1368,748,1076,740
"EXOSC6",1307,1262,913,1281,870
"PLEKHM1",2031,1821,1574,1883,1401
"IFNA21",0,0,0,0,0
"SNORA101B",0,15,7,17,25
"FZD8",8,7,16,37,2
"C7ORF77",0,0,0,0,0
"C1ORF53",1,0,0,0,0
"KBTBD2",3268,2188,2611,5359,3283
"LINC01412",0,0,0,0,0
"LOC105378683",0,0,0,0,0
"LINC01007",0,0,0,0,0
"MIR574",0,0,0,0,0
"LOC339666",0,0,0,0,0
"CXCL3",8,0,4,0,0
"GC",0,0,0,0,0
"LOC105373656",17,8,12,0,0
"GTF2I",2925,2145,2294,2585,1900
"RNF217",271,115,166,17,29
"MIR4306",26,20,22,16,0
"LOC105371328",0,0,0,4,0
"CLIC2",127,238,80,30,36
"ABL1",2146,1721,1473,2040,1513
"MIR921",2,0,0,0,1
"MIR585",0,0,0,0,0
"LOC101928475",0,0,0,0,0
"IL18BP",1131,652,824,921,615
"GIMAP7",3697,4258,2146,4391,1428
"MYO7B",9,54,29,0,77
"CMYA5",41,9,17,44,45
"SALRNA3",0,0,0,0,0
"MLLT1",1686,1499,1202,1771,1268
"CLRN3",0,0,0,0,0
"LOC101927817",5,0,0,3,0
"MIR33A",5,0,0,2,6
"USP11",1694,1335,1018,1947,1513
"C16ORF46",22,0,17,25,37
"VSTM5",0,0,0,0,0
"MRPL27",170,145,150,365,213
"FAM120B",3698,2991,2896,3573,2643
"CXCR1",58,35,30,11,9
"CELF6",180,79,137,196,120
"CHRM3-AS1",0,0,0,0,0
"LINC01980",0,0,0,0,0
"LCE3C",0,0,0,0,0
"AMY1A",0,0,0,0,0
"SZT2",7154,4139,5735,7238,5256
"DIO2",0,0,0,2,0
"ZNF770",4468,3659,3311,5252,3264
"GRPEL1",799,597,562,876,722
"FAM85B",14,18,25,17,8
"MIR3659",0,0,0,0,0
"USP29",0,0,0,0,0
"TRIM39",781,293,392,576,852
"MIR4687",0,0,0,0,0
"TROAP",45,11,21,17,6
"GLE1",1401,1191,1193,1184,1142
"NCBP3",2805,1961,2105,2810,1913
"CCAT1",0,0,5,0,0
"LINC02488",0,0,0,0,0
"HIGD1C",0,0,0,0,0
"AICDA",0,6,0,0,0
"DHRS11",66,71,86,82,51
"TYMSOS",0,1,0,0,0
"IFT46",200,259,191,229,199
"RFWD2",2376,2361,1972,2490,1872
"OR5M1",0,0,0,0,0
"C19ORF25",340,210,257,291,167
"SPOCD1",10,27,53,1,0
"OACYLP",0,0,0,0,0
"CAVIN4",10,11,5,22,7
"HIST2H2BE",10163,7216,5467,3022,5177
"C15ORF61",167,121,133,118,113
"MIR4743",0,0,0,0,0
"LINC01804",0,0,0,0,0
"MARCH10",10,15,0,9,25
"COL21A1",0,0,0,0,0
"RFX3",2371,2213,1579,3356,2203
"OCLN",224,28,10,6,22
"TRAF3IP1",428,488,415,433,312
"ZNF48",286,316,228,329,291
"VAV3",1241,1323,1067,935,827
"DNLZ",175,116,82,238,200
"MAGEC2",0,0,0,0,0
"RNF212",90,72,57,92,48
"MIR548AW",0,0,0,0,0
"ADH7",0,0,0,0,0
"SNORD58C",41,43,49,81,69
"LINC01760",0,0,0,0,0
"CD40",116,122,143,60,95
"SNORD17",3198,3070,1288,1689,1819
"NR1H4",0,0,0,0,0
"FBXO3-AS1",2,0,0,1,21
"ERCC6L",28,28,45,55,67
"KRTAP9-4",0,0,0,0,0
"LOC100996335",0,0,0,2,0
"CCDC107",202,74,129,134,135
"LINC01158",0,0,0,0,0
"NT5C",148,130,103,139,152
"RNA18SN2",0,0,0,0,0
"ALDH6A1",602,1215,704,835,854
"TPTE2P6",2,0,0,1,18
"UBE2J2",732,717,534,826,423
"TGIF1",989,913,458,1459,887
"CSAG1",0,0,0,0,0
"TAF5",509,270,345,360,285
"SLC22A20P",36,12,7,6,0
"LINC01478",8,2,10,0,0
"CDK2",712,261,460,645,526
"LOC105370333",6,43,8,11,6
"POLR2F",506,419,328,508,320
"NCOR2",7139,5569,4993,6457,4501
"EBPL",371,289,173,339,266
"LOC105371506",6,0,1,2,0
"MIR5193",0,0,0,1,0
"PAGE2B",4,0,5,4,0
"TAS2R3",55,19,41,25,41
"GNG3",14,9,0,0,7
"MYLK2",2,2,0,2,0
"TEDDM1",0,0,0,0,0
"MIR4641",0,0,6,0,0
"UBAP2",2673,2461,1993,2733,2113
"COG6",1043,975,783,985,694
"RIPOR2",38168,36333,33952,40767,35222
"CHMP6",312,389,250,398,297
"LINC00595",0,0,0,0,0
"BMP6",22,194,290,4,32
"MIR3605",17,3,6,0,16
"SNORA74A",30,16,38,18,15
"TBL1Y",0,0,0,0,0
"TICRR",92,59,9,22,12
"SNORD142",28,23,62,44,49
"PPAN",111,47,101,218,121
"BICDL2",1,0,0,0,0
"LOC100287497",804,442,401,409,322
"RASSF10",0,0,0,0,0
"MIR6853",0,0,0,0,0
"LOC101928517",0,0,0,0,0
"CCDC25",1206,1333,813,1129,890
"CDKL5",398,667,415,570,445
"LOC101927755",15,9,0,6,0
"LINC00599",0,0,0,0,0
"LOC105375401",0,0,0,0,0
"MYLK-AS2",11,2,5,0,6
"LINC01461",0,0,0,0,0
"TRIM23",1072,982,723,1068,740
"ITGAV",998,577,661,819,707
"CYP27C1",0,0,0,0,0
"BPY2C",0,0,0,0,0
"SCGB1A1",0,0,2,0,0
"PAX6",0,0,0,1,0
"LOC101928882",0,0,0,0,6
"ESCO2",50,23,20,15,4
"CD177",0,4,0,0,0
"SPIN2B",82,69,55,111,68
"ZNF384",2202,2175,1912,2280,1755
"MIR6873",0,0,0,0,0
"TFG",1226,1211,1081,1736,964
"INTS13",1062,698,889,1152,764
"LINC01139",0,0,0,0,0
"NEK3",266,220,220,182,135
"STIL",280,195,214,168,188
"LINC02344",0,2,0,0,0
"CLN5",324,541,436,663,385
"GNS",3080,3802,2764,2212,2059
"CDC34",618,415,314,531,612
"HIF1AN",2754,1766,2252,2495,1549
"MAP4K2",2689,1687,2126,2850,2208
"LOC100507443",0,0,0,0,0
"LINC02447",4,13,4,10,7
"TPGS2",1866,1833,1339,950,1196
"PPIAL4G",1,0,0,7,0
"GPR150",52,90,46,44,67
"LDHB",6785,10636,6319,10241,7238
"CNEP1R1",1214,809,792,1031,709
"RGS16",49,26,35,102,510
"LOC339529",13,2,2,0,0
"TARS",1580,1508,1271,1605,1580
"ACOXL-AS1",0,0,2,1,0
"SNORD165",0,0,0,0,0
"MAP2K7",1835,1237,1432,2061,1402
"DNAJC24",483,550,488,552,407
"MIR1185-2",0,0,0,0,0
"LINC01719",194,5,7,105,4
"LINC01620",6,0,0,0,0
"C7ORF65",0,0,0,0,0
"TOX4",3733,3683,2692,4734,3333
"UGT2A1",0,0,7,0,0
"LAYN",16,32,20,24,26
"SLC12A1",0,0,0,0,0
"LOC101929208",0,0,0,0,0
"MIR19B1",0,0,0,0,0
"LOC101927914",1,0,4,2,0
"EIF3M",4378,4957,3385,5411,3826
"LOC202181",1043,543,867,1420,640
"ALAD",1146,926,947,1016,802
"CRYGS",142,62,104,109,66
"BAX",1125,831,796,877,1025
"GAS6-AS2",0,0,0,0,0
"SCGB3A2",0,0,0,0,0
"OR6B1",0,0,0,0,0
"LRP3",2,0,7,0,0
"PIGX",605,614,399,542,559
"MIR4513",0,1,0,0,0
"LINC01468",0,0,0,0,0
"IQCH",73,50,27,40,33
"LINC00589",0,0,0,0,0
"OR6X1",0,0,0,0,0
"GIPC2",15,22,0,12,5
"MIR627",3,0,0,5,0
"TAS2R39",0,0,0,0,0
"PLEKHA3",1399,1134,866,1348,1210
"MIR125B2",0,0,5,0,0
"SMPD4",2074,1585,1554,2337,1693
"LINC01717",0,0,0,0,0
"LRTOMT",41,90,45,79,35
"DYM",3293,3026,2560,3515,2746
"TMEM18",786,721,826,1299,800
"ELOA",1641,1421,1105,1437,1123
"PAWR",228,174,216,358,199
"GSTZ1",132,120,114,64,66
"KCNH4",22,2,10,2,14
"ZASP",0,0,0,0,0
"LOC101927636",11,20,44,13,0
"PPP1R26-AS1",11,4,12,10,8
"HOXC10",0,0,0,0,0
"LOC285191",0,0,0,0,0
"ATP8B5P",21,18,7,20,13
"C6ORF106",4253,4036,2792,4197,3365
"LINC00347",0,0,0,0,0
"STIM2",4862,3825,4048,5349,4524
"MFSD1",1320,1463,1289,1108,736
"CCIN",28,18,41,19,9
"MYDGF",364,413,242,445,343
"FUOM",99,84,98,95,87
"HIST1H2AL",521,321,170,119,163
"NPVF",0,0,0,0,0
"LINC00870",0,0,0,0,0
"MIR6876",0,0,0,0,0
"LOC101928266",0,0,0,4,0
"CBWD5",712,341,493,692,532
"IL17RD",0,0,0,0,0
"MIR8077",0,0,0,0,0
"ARHGAP23",23,38,17,21,0
"LOC105374952",62,62,26,56,29
"LINC00554",0,0,0,0,0
"BUD13",624,487,360,551,417
"GBF1",5097,3254,3817,5265,3887
"ROPN1L",67,27,37,17,5
"PROKR1",0,1,0,0,0
"USP39",1679,1491,1274,1772,1186
"FAM162B",0,0,0,0,0
"LOC105372069",0,0,0,0,0
"LOC101928314",0,0,0,0,0
"GSTA5",0,0,0,0,0
"PUM1",8485,7667,6609,9376,7089
"LMTK2",2733,2870,2768,4254,1799
"LZTS1",36,38,110,139,67
"GRHL3",0,0,1,0,0
"REN",0,0,0,0,0
"LOC100506472",116,31,143,24,19
"ACCSL",0,2,11,0,0
"MIR4738",11,2,6,6,0
"EFCAB12",144,37,59,80,61
"CXADR",30,35,29,46,27
"RBM18",1344,796,769,1117,1014
"UBE2Q2P1",212,139,114,138,135
"LINC00868",0,0,0,0,0
"LINC02547",0,2,0,0,0
"CEP85L",7875,5044,6187,9600,7205
"ITSN2",8694,5529,6789,9982,7430
"DGCR6",47,43,27,32,63
"NFKBIL1",99,151,69,179,75
"LOC101927243",0,4,0,0,0
"PLCG2",1018,1448,974,526,811
"SLC5A5",105,59,81,126,181
"LOC654841",48,23,39,12,10
"MS4A7",695,750,414,21,85
"LINC01340",2,0,0,4,0
"PTPRM",1210,1072,932,1566,608
"ADD3",17838,16795,16260,25840,19975
"NDP",0,0,0,0,0
"MICAL3",2019,1240,1272,2166,1972
"LINC01621",0,0,0,0,0
"ZNF649-AS1",0,0,0,0,0
"FOXR2",0,0,0,0,0
"DUSP12",474,441,365,476,307
"TNFAIP8",6410,7972,5838,8241,6035
"HEATR1",4442,3354,3930,5752,4025
"SDAD1",2840,3201,2485,2873,2053
"ANKRD31",192,242,159,175,99
"ADGRL3",0,5,0,0,0
"ERGIC2",1835,1859,1516,2178,1506
"LOC284950",0,0,0,0,0
"SPHAR",0,0,0,0,0
"PPIL6",24,15,9,5,21
"LOC105370068",0,0,0,0,0
"NPR3",255,31,75,21,21
"MYOG",0,0,0,0,0
"ANXA7",2870,2801,2072,3540,2397
"USP20",2902,1524,2383,3385,2615
"NPRL3",1190,850,785,903,662
"MIR6801",1,3,1,3,0
"HMGN1",2955,3270,2384,3293,2523
"MIR4307HG",0,0,0,0,0
"LINC01915",0,0,0,0,0
"FPGT-TNNI3K",0,0,0,0,0
"RARA-AS1",35,35,48,15,74
"STAB2",0,3,0,0,0
"HTR1F",47,5,6,0,18
"SALL2",148,245,161,145,194
"ACBD7",6,16,20,23,4
"MIR4299",0,0,0,0,0
"CBX4",2701,2563,2072,2697,2948
"LOC101928163",0,0,0,0,0
"OR56A1",0,0,0,0,0
"LOC729159",0,0,0,0,0
"CDH22",0,0,0,0,0
"KRTAP12-3",8,0,0,10,5
"KRT6C",0,0,0,0,0
"PCNAP1",0,0,0,0,0
"DNMT3B",101,57,49,47,64
"LOC157273",0,0,0,0,0
"FBLN7",331,430,359,350,258
"MIR511",0,0,0,0,0
"BTNL9",0,8,5,1,6
"NUTM1",0,0,3,0,5
"COMMD9",839,896,724,766,502
"USP17L17",0,0,0,0,0
"ZSWIM2",0,0,0,0,0
"MIR4514",7,0,0,0,0
"MIR4468",0,0,0,0,0
"FOXG1-AS1",0,0,0,0,0
"SUPT5H",4002,3221,2926,5489,4106
"CYC1",588,528,448,483,364
"LINC02075",0,0,0,0,0
"SNORA89",0,0,0,0,0
"CMSS1",365,344,262,463,472
"AXIN1",2374,1746,1606,1904,1545
"FOXP3",694,692,494,649,527
"SNORD116-22",0,0,0,6,2
"POU1F1",0,0,0,0,0
"DOLK",354,225,175,205,170
"SCAPER",2488,1682,2062,2545,1942
"MTHFR",1540,1024,1144,1233,1059
"KRTAP4-5",0,0,0,0,0
"SLFNL1-AS1",300,176,162,322,219
"LAIR2",75,237,94,47,33
"PSMB8-AS1",2137,2082,1317,1241,1125
"FAM171B",52,18,9,25,15
"CYHR1",453,349,327,473,267
"ELOA3B",0,0,0,0,0
"CSF3",0,0,0,0,0
"DHRS3",1023,1230,1116,1240,1262
"PTENP1-AS",2,4,9,4,0
"BRCC3",903,892,677,845,671
"DEFB136",0,0,0,0,0
"ABCG8",0,0,0,0,0
"LINC01608",0,0,0,0,0
"CSN2",0,0,0,0,0
"SCG3",0,0,0,0,0
"TM4SF19-AS1",47,24,30,11,19
"LOC100131257",1,0,1,5,0
"LINC01667",0,0,0,0,0
"MIR6778",0,0,0,0,0
"BAG3",1066,889,740,2152,1037
"LINC01574",0,0,0,0,0
"DSCC1",79,42,25,3,29
"SPRR2C",0,0,0,0,0
"TYW5",748,449,645,894,413
"IRX1",0,0,0,0,0
"PAFAH1B3",94,152,168,189,151
"ZNF33BP1",21,41,21,7,9
"LOC100129291",0,0,0,0,0
"C1ORF185",0,0,0,0,0
"LOC105372068",0,0,0,0,0
"RBM25",8031,4700,6289,10150,7111
"CNTN4",0,0,0,0,0
"SNORD115-7",0,0,0,0,0
"AKR1C6P",0,0,6,0,0
"MIDN",3397,1865,1897,2542,5320
"LZTS1-AS1",0,0,0,0,0
"ADAMTS9-AS1",0,0,0,0,0
"SLA2",2057,1557,1562,1851,1247
"DHFR2",331,284,270,205,201
"TET1",1067,1102,799,720,755
"FAM71C",0,0,0,0,0
