"Gene_ID","s1C104_Pre","s1C110_Pre","s1C125_Pre","s1C113_Pre","s1C114_Pre"
"GGPS1",790,1106,572,1203,727
"ZNRD1ASP",572,242,372,355,137
"ZNF34",185,185,185,187,157
"MIR6071",0,0,0,0,0
"TRIM60",0,0,0,0,0
"LGALS16",0,0,0,0,0
"LGR5",0,0,0,0,0
"PCDHGA7",32,17,51,43,14
"MIR593",31,17,27,19,16
"MIR384",0,0,0,0,0
"MATR3",14760,14381,11328,20930,14612
"LOC692247",115,1,22,137,110
"HOXA2",9,0,0,4,0
"PDGFRB",367,85,12,59,46
"HIVEP2",12976,16963,10396,18623,12280
"SNORD118",0,0,0,0,0
"PAPLN",24,3,26,3,5
"FTH1P3",87,65,57,124,111
"IFIH1",1211,1037,1077,1261,1170
"USP17L10",0,0,0,0,0
"CAMTA2",2422,1638,1703,2240,1668
"PSG9",0,0,0,0,0
"MYH11",19,5,7,4,0
"LINC01985",0,0,0,0,0
"SYT9",0,0,0,0,0
"LINC01675",5,0,7,0,0
"CCBE1",0,0,0,0,0
"LOC105376064",0,0,0,0,0
"MT1L",11,13,19,0,32
"PHACTR3",0,5,1,0,0
"CENPS-CORT",0,0,0,0,0
"MIR1912",0,0,0,0,0
"LOC643711",0,0,0,0,0
"C9ORF129",5,6,9,13,18
"SNORA11F",41,21,11,52,21
"LOC101929524",46,53,44,34,40
"LOC729603",427,210,347,544,321
"KRTAP13-4",0,0,0,0,0
"OR9I1",0,0,0,0,0
"GBP2",5346,4505,4214,5642,5038
"CYP3A7-CYP3A51P",0,0,0,0,0
"LINC01727",22,20,17,19,22
"LINC01581",0,0,0,0,0
"SNCA",47,152,210,19,10
"FAM45BP",134,85,50,75,61
"LINC01514",0,0,0,0,0
"MIR569",32,34,29,20,24
"LOC105375115",0,0,0,0,0
"TUG1",13465,8971,11599,15141,10885
"DDX39A",1445,630,997,1674,1458
"TCP11L1",848,531,518,564,415
"FGF23",7,0,0,0,0
"LINC01497",0,0,0,0,0
"CCP110",1336,1275,953,1205,1046
"PTGES",0,8,0,0,0
"HIST1H2BD",8636,4400,2279,2462,3626
"TIGD3",14,10,8,13,6
"PLAA",1616,1280,1266,1581,1137
"ZSCAN5B",0,0,0,0,0
"KRTAP9-3",0,0,0,0,0
"NFIL3",334,352,290,375,370
"KIF27",285,280,1064,378,372
"SULT1A4",0,0,0,0,0
"HSD17B3-AS1",0,0,0,0,0
"LINC02146",0,0,0,0,0
"MIR320B2",19,7,7,2,5
"CCNG1",3084,3697,2440,3841,2892
"RPL5",18642,25645,14910,27097,19370
"SFTPA1",0,0,0,3,0
"ZNF711",220,76,97,215,45
"SNORA9B",15,4,15,14,1
"LINC00351",0,0,0,0,0
"FEM1C",3009,1643,1874,3304,2574
"EYA3",1639,1026,1318,1386,1008
"NOSTRIN",7,8,5,15,1
"RAB11B-AS1",54,80,63,106,35
"CDY2A",0,0,0,0,0
"RNA5S13",0,0,0,0,0
"LOC392196",0,0,0,0,0
"MIR1255B2",0,1,0,0,0
"HECTD3",1382,916,1153,1055,962
"BARHL1",0,0,0,0,0
"C5ORF58",1,0,2,1,0
"LOC101927557",0,0,0,0,0
"TTTY5",0,0,0,0,0
"LOC105378330",0,0,0,0,0
"KCTD1",124,148,110,148,95
"KCNH6",0,0,0,0,0
"CCL3L3",0,0,0,0,0
"TET2",5497,5564,4608,5171,3623
"SMIM26",622,761,456,1044,486
"DGKE",3027,1523,2153,2957,2241
"RTP4",145,154,150,123,45
"AP3M1",2460,2554,2236,2252,1458
"LOC100996415",0,0,9,0,0
"CCDC12",614,678,491,712,491
"SLC25A45",1205,549,1100,1096,935
"ZFP57",0,42,0,175,112
"LINC01838",0,0,0,0,0
"BDNF",0,0,0,0,0
"NFATC2",15816,11226,9293,11824,8851
"MIR6877",0,0,0,0,0
"TMEM72-AS1",3,4,4,3,0
"LINC01128",941,644,708,1038,807
"AOC4P",5,0,3,0,0
"EIF3J-AS1",431,313,286,317,338
"FGFRL1",599,377,490,660,465
"LINC01534",122,84,119,74,91
"SNORD36B",0,3,9,2,0
"ZNF557",1369,1343,951,1319,923
"UTP14C",947,761,778,732,398
"TFAP2B",0,0,0,0,0
"XRCC6",4259,4826,3173,6006,4313
"PTGS1",234,1028,1130,37,214
"MIR410",0,0,0,0,0
"ZNF577",341,343,329,434,324
"PDE2A",36,9,34,55,56
"TFAMP1",0,0,0,2,0
"LINC01693",0,0,0,0,0
"RGS19",1221,1361,1015,810,730
"CCT6B",128,109,111,116,147
"MIR1249",3,2,0,0,0
"SPAG8",61,45,55,54,18
"HOXC-AS3",0,0,0,0,0
"NT5C1B",1,0,0,0,0
"GAS6",89,51,79,91,22
"IGFBP1",0,0,1,0,0
"RNU4-2",462,269,172,237,274
"FBXL19-AS1",153,45,65,64,52
"SNX20",2430,2517,2723,2645,1905
"PRPH2",0,11,2,0,1
"BCL11B",26920,26301,20986,33332,25356
"FAM169A",1481,929,926,1475,744
"ABHD10",731,841,597,649,423
"NIN",13123,11978,10025,14231,11007
"MAOB",0,1,12,0,2
"GNL1",2107,940,1224,2517,2880
"ALX3",1,0,0,0,0
"CIITA",1111,1444,1242,260,707
"KBTBD7",314,285,259,203,152
"STOM",6868,6164,4562,5873,4236
"JAKMIP2",886,604,289,172,184
"CBL",9516,9021,7724,10183,8059
"MATN4",0,0,0,0,0
"ENPP5",206,157,88,53,44
"NBL1",11,0,6,9,15
"ROPN1B",0,0,0,0,0
"LOC101928540",0,0,0,0,0
"GLYAT",0,0,0,0,0
"NCAPG",142,132,104,46,53
"ARL1",1224,1314,924,1278,929
"LOC100129034",1565,1115,847,814,893
"CXORF66",0,0,0,0,0
"FGF14",0,0,0,2,1
"FBXL19",366,253,348,448,284
"FAM169B",0,0,0,0,0
"COG7",720,503,561,746,543
"KCNJ11",0,0,0,11,0
"PPA1",1790,1813,1769,2205,1416
"NDUFA4L2",16,10,10,1,0
"FCF1",1455,1657,1145,1823,1439
"OR1S2",0,0,0,0,0
"DRAM2",1234,987,1012,1175,1022
"LMO4",786,804,550,498,456
"LOC283922",1243,669,916,823,1039
"DMKN",11,12,1,4,4
"ZSCAN30",339,317,353,443,290
"NR1H2",2013,1389,1667,3381,2233
"RALB",778,907,481,508,413
"PKLR",0,0,0,0,0
"TEX264",1043,686,567,800,575
"LOC101930114",21,0,2,8,7
"LGALS3",417,786,435,191,237
"MIR518F",0,0,0,0,0
"TECTA",38,44,36,39,48
"MIR6752",0,0,0,0,0
"CYYR1",9,10,26,0,0
"MIR4274",0,0,0,0,0
"LINC01039",4,2,0,2,0
"LINC00466",0,0,0,0,0
"SLC44A2",8498,7772,6419,8023,6449
"A1CF",0,0,0,0,0
"UBA1",5135,5290,4891,6255,4830
"MAGEB17",3,0,0,0,0
"FNTA",2025,1670,1353,1914,1098
"MRGPRG",0,0,0,0,0
"TPR",12754,9799,9982,15798,10248
"LOC102723886",0,0,0,0,0
"HMBOX1",3053,1912,2384,3359,2657
"LINC01517",0,0,0,0,0
"RSPH14",14,16,2,22,2
"VPS35",3219,3453,2930,3437,2086
"CLUAP1",585,731,821,1001,1011
"KIF23",55,94,39,20,92
"LIX1",0,3,0,0,5
"NLRP6",152,205,202,420,230
"LCE1A",0,0,0,0,0
"NUP133",2476,1916,1798,2870,1881
"CEACAM8",0,0,2,0,0
"DRAXIN",19,29,5,16,15
"PHF20",4318,3954,3131,4438,3401
"PTPN9",1840,1458,949,1131,840
"RAB3C",1,7,1,0,0
"SPINT3",0,0,0,0,0
"MIR4731",0,0,0,0,0
"RNF133",0,0,0,0,0
"LINC00173",59,3,49,40,42
"LOC100505795",0,0,0,0,0
"PAN3-AS1",180,42,71,122,128
"LOC101928226",0,0,0,0,0
"HMGA1",3779,5170,2932,4097,3121
"MIR548AA2",73,42,37,80,39
"ZFP91-CNTF",0,0,0,0,0
"PCNT",3632,2288,2981,3884,2694
"TMEM167A",2696,2328,2426,2767,1887
"MSANTD4",759,391,431,472,376
"PRICKLE3",220,163,214,131,103
"CEP44",898,791,845,993,692
"SNORD116-13",3,4,14,33,25
"RANBP17",0,39,31,3,17
"RPS19BP1",339,240,171,332,185
"MIR6777",0,0,0,0,0
"OAT",733,944,517,879,1269
"UBOX5-AS1",0,0,0,0,0
"CHST3",0,0,0,1,0
"LINC01759",0,0,4,3,0
"SPDYA",0,5,7,8,107
"NEURL4",1080,528,911,1216,811
"TBC1D22B",1109,910,746,1186,930
"NUBP1",456,487,380,570,340
"LOC100128531",0,0,0,0,0
"LINC01883",0,0,0,0,0
"PLAUR",230,213,362,30,77
"SARS",2699,2327,2358,3600,2202
"MIR3654",242,407,225,440,381
"MIR5192",24,8,20,29,31
"OR12D1",0,0,0,0,0
"GTF2A2",1018,1145,692,1314,683
"GRPR",0,6,9,16,9
"MIR3133",0,0,0,1,0
"MIR6817",0,0,0,0,0
"TMEM8B",305,274,296,300,288
"NSMCE1",419,499,376,681,542
"CHRNE",100,67,68,48,30
"KCNK12",3,5,12,13,8
"SNTN",0,0,0,0,0
"MIR514A3",0,0,0,0,0
"TPSB2",29,0,2,0,9
"EIF1B-AS1",50,22,32,28,7
"IFNG",2771,108,338,328,979
"ACTR3BP2",0,0,0,0,0
"NR4A1",1205,337,299,241,1218
"NUP153",8593,5548,5725,9325,7747
"KARS",4055,4679,3303,4588,3648
"M1AP",0,6,10,0,0
"DND1",65,23,16,40,7
"RPA1",2214,2471,1866,2674,1821
"BRAP",1525,1307,1291,1726,1221
"FAM212B",99,117,68,53,74
"MIR580",0,0,2,4,0
"PTPRS",290,358,161,90,43
"ASAH2",43,20,32,60,14
"TUBB",6707,7196,4382,4793,4634
"SMIM37",0,0,0,0,0
"EPHA1",639,246,468,574,446
"LYRM9",206,263,153,251,163
"FBXO39",12,4,4,23,57
"ZSWIM9",64,129,129,108,94
"DDX52",1875,1237,1339,2321,1150
"RAB34",133,100,130,125,130
"YPEL2",2616,2197,1862,2452,2082
"GOLGA8G",0,0,0,0,0
"LOC105379514",0,0,0,0,0
"RAD51AP1",46,52,36,20,12
"UNC13D",3843,2669,2684,3504,2060
"CCNB1IP1",496,522,354,731,618
"IRAK4",3315,2076,2642,3441,2546
"CCDC192",3,2,4,0,3
"SNX31",0,0,0,1,0
"CAGE1",160,38,42,29,68
"COL6A2",2163,582,423,1069,528
"MIR596",0,0,0,0,0
"GPR82",18,38,10,4,13
"MIR3175",140,60,103,113,81
"BOP1",410,306,303,344,281
"BNIP3L",3558,3865,2907,3709,2506
"URI1",4067,3660,2562,4156,3011
"PIR-FIGF",0,0,0,0,0
"LOC442497",0,7,9,5,3
"OR4C12",0,0,0,0,0
"OR12D3",0,0,0,0,0
"LUZP4",0,0,0,0,0
"FCRLA",70,129,109,24,227
"MIR591",11,5,7,11,0
"MIR6737",0,0,0,0,0
"ZNF610",59,39,39,28,7
"ETV5",12,7,12,0,7
"CCDC32",518,719,476,724,553
"DEPDC7",32,7,26,16,25
"OTP",0,0,0,0,0
"MARCH7",6775,6955,5475,7490,4987
"PDE1A",0,0,0,0,0
"OR2L5",0,4,5,0,0
"LRRC8A",2198,1608,1341,1811,1570
"ETV7",33,2,42,57,31
"CIPC",783,737,669,844,499
"DHX30",2033,1270,1544,2302,1501
"KCNH8",5,17,43,14,16
"CPT1C",1,11,0,17,6
"CEP97",1450,939,1113,1491,953
"E2F2",325,305,297,168,177
"TTLL12",945,704,484,692,660
"LYPLAL1-AS1",14,16,53,11,15
"CMBL",13,30,10,11,14
