"Gene_ID","A1","A2","A3","A4","A5","A6","A10","B2","B5"
"GZMM",82,95,219,160,144,208,268,163,428
"PTGDR2",17,31,8,18,8,33,69,69,53
"MYH1",0,0,0,0,0,0,0,0,0
"NRSN2-AS1",5,13,11,8,9,20,24,19,30
"ARHGEF16",1,0,1,0,0,1,1,0,2
"MIR299",0,0,0,0,0,0,0,0,0
"TRDN",0,0,0,0,0,0,0,0,0
"ADAT1",546,806,1125,889,792,1335,1066,1223,1244
"NTRK1",1,4,6,5,5,7,7,3,4
"SNRNP35",156,252,307,159,229,367,340,355,347
"AGT",0,0,0,0,0,0,0,0,0
"SLC4A10",31,137,19,161,7,30,10,29,133
"PAM16",7,4,10,12,17,4,7,5,6
"PNKY",0,0,0,0,0,1,0,0,0
"LINC02262",0,0,0,0,0,0,0,0,0
"APOC1P1",0,0,0,0,0,0,0,0,0
"NDUFB8",299,460,591,550,555,728,680,668,887
"SPTSSA",97,133,167,144,80,183,174,211,420
"AKR1C2",2,0,0,0,1,1,5,12,8
"TMEM115",136,260,330,412,318,344,360,357,368
"HOXB-AS1",11,44,69,22,27,52,15,51,92
"AIF1",88,206,157,184,130,366,273,447,1223
"SYNGR1",5,9,0,8,5,6,4,26,38
"LOC101928596",0,0,0,0,0,0,0,0,0
"AMACR",3,0,1,2,1,1,3,2,1
"BFAR",359,604,757,571,406,805,821,773,1057
"LINC01951",0,0,0,0,0,0,0,0,0
"CCDC82",418,652,907,749,753,846,1033,1202,1161
"SNORD116-10",0,0,3,0,0,4,1,1,0
"LINC02000",0,0,0,0,0,1,0,0,0
"TRIM32",176,225,227,268,177,358,410,307,384
"CTBS",379,784,1016,1021,951,930,1116,844,1045
"YJEFN3",10,17,39,26,39,26,25,39,23
"ASGR1",1,1,1,3,4,6,4,17,36
"FER",261,405,452,242,372,675,527,658,530
"LOC101929095",1,0,1,1,1,5,0,4,2
"CGN",1,1,4,0,0,11,4,3,12
"RRAGB",64,105,173,35,53,181,212,196,216
"DIS3",1029,2116,3099,3311,3594,2691,2552,2807,2361
"RPL22",3040,6549,6783,6262,5562,8979,10543,7208,11429
"NELFB",288,406,451,255,216,565,683,558,805
"CSRNP3",0,0,0,0,0,0,0,1,0
"ZNF654",556,1056,1318,1333,1196,1506,1446,1348,1502
"MFAP3L",17,19,27,101,33,129,34,394,2350
"C2ORF82",20,17,20,5,8,38,26,49,24
"TRH",0,0,0,0,1,0,0,1,2
"GGTLC2",0,0,0,0,0,0,3,0,1
"ST8SIA2",0,0,0,0,0,0,0,0,0
"LY6E",683,1060,1262,688,1021,1395,1608,1224,1872
"KRTAP5-1",0,0,0,0,0,0,0,0,0
"RPLP0P2",0,0,0,0,0,0,0,0,1
"ADIPOQ",0,0,0,0,0,0,0,0,0
"OR5AP2",0,0,0,0,0,0,0,0,0
"MIR4738",1,2,1,3,2,3,8,0,4
"POC5",145,252,326,335,264,321,428,367,392
"WDR63",38,17,27,4,4,94,52,33,7
"PRAMEF17",0,0,0,0,0,0,0,0,0
"GML",1,1,2,3,0,2,2,2,1
"ZNF876P",17,22,30,29,30,43,35,38,48
"PREB",137,226,244,156,98,338,383,340,476
"MRPS7",183,316,389,287,292,377,436,377,519
"CLIP1",1386,2070,3590,2826,2756,3223,2752,3186,3773
"AP3M1",644,1157,1396,1001,886,1528,1735,1644,1792
"KLLN",15,22,13,2,4,42,38,22,41
"ZNF92",599,995,1367,731,1433,1367,643,1287,1495
"NUPR2",2,0,0,0,0,3,2,4,2
"RAP2B",1259,2011,2506,1736,1546,2834,2695,2766,4574
"DSC2",1,4,2,6,4,4,1,36,123
"MIR1302-10",0,0,0,0,0,0,0,0,0
"MIR4776-2",0,0,0,0,0,0,0,0,0
"SENP3-EIF4A1",7,12,13,18,19,14,19,10,6
"MIR4478",0,0,0,0,0,0,0,0,0
"ATG4D",100,220,278,341,350,212,220,235,263
"LOC100507071",0,0,0,0,0,0,0,0,0
"TPGS2",478,747,830,614,567,1189,1246,1255,1512
"POTEC",0,0,0,0,0,0,0,2,0
"SNHG16",1217,2348,2834,4904,2992,2343,3011,2276,3758
"KRT18P55",0,0,0,0,0,0,0,1,0
"SNORA50A",24,58,98,34,53,80,90,114,79
"MGC34796",0,0,0,0,0,0,0,0,0
"CEACAM22P",0,0,0,0,0,0,0,0,0
"UBXN6",233,363,475,477,502,489,547,499,601
"ATF7IP",6550,11620,12693,10034,9540,14945,15074,13533,14309
"MIR503HG",0,0,0,1,0,0,6,0,0
"LMOD3",0,0,0,0,0,0,0,0,0
"PTPMT1",139,282,314,330,308,317,306,348,405
"IPO8",825,1492,1551,699,622,2185,2237,2127,2449
"C1ORF94",0,0,0,0,0,0,0,0,0
"MIR3936",1,10,17,5,0,7,9,12,15
"PPARA",195,384,390,190,152,495,506,613,609
"LINC00615",0,0,0,0,0,0,0,0,0
"LRRC17",4,6,9,1,7,7,11,8,9
"RFX5",453,755,1120,644,651,1077,1129,1134,1456
"SSRP1",662,1120,1385,729,675,1673,1752,1441,2078
"LINC01517",0,0,0,0,0,0,0,0,0
"LINC01377",0,0,0,0,0,0,0,0,0
"MIR4765",0,0,2,2,0,1,0,0,0
"LILRA1",20,14,16,24,8,70,9,258,463
"RAB2B",291,535,733,452,507,686,697,759,892
"NECAB1",0,0,0,1,1,2,1,0,1
"NXPE4",0,0,0,0,0,0,0,0,0
"ITGA10",11,12,31,3,4,24,23,27,26
"LINC01164",0,0,0,0,0,0,0,0,0
"MIR6889",0,0,0,0,0,0,0,0,0
"CCDC129",0,0,0,0,0,0,0,0,0
"SNORD172",2,11,10,6,2,7,6,14,9
"ZNRF2",498,642,1041,856,831,875,990,1155,1176
"KRTAP26-1",0,0,0,0,0,0,0,0,0
"HAUS7",67,140,187,102,79,165,192,205,197
"LOC102724404",2,5,6,1,11,7,2,4,6
"SYCP2L",3,2,6,3,6,8,7,11,20
"CHEK2P2",0,0,0,0,0,0,0,0,0
"MIA2",543,762,1544,860,930,1222,1367,1487,1521
"IFNA14",0,0,0,0,0,0,0,0,0
"SOCS3",992,1595,6587,3336,1800,1622,9857,2795,5355
"RIPK3",104,127,222,136,91,233,217,257,268
"SGK2",3,6,8,0,1,5,8,12,5
"SPDL1",54,75,144,45,43,146,118,142,210
"MYO19",219,400,592,1496,327,445,497,555,642
"CFHR5",0,0,0,0,0,0,0,0,0
"ZNF726",49,84,99,33,52,131,93,94,93
"CECR3",0,1,2,0,0,2,2,0,0
"CCDC183-AS1",45,92,77,29,29,107,69,109,61
"ATP5L2",14,34,33,28,39,36,51,37,30
"LINC01538",0,0,0,0,0,0,0,0,0
"MCOLN3",27,38,105,6,34,74,265,176,39
"LOC106699570",1,0,1,0,0,0,0,1,2
"UBTD2",80,116,91,28,36,205,196,249,196
"PPP1R26",11,25,36,23,12,33,46,35,86
"TNFRSF8",4,0,1,0,1,12,9,19,19
"LEMD1",2,0,0,0,0,0,1,0,0
"MIEF2",30,87,90,72,45,103,92,70,109
"H3F3AP4",376,937,1284,371,672,983,873,1422,1975
"LINC01751",0,0,0,0,0,0,0,0,0
"ZNF57",19,46,60,33,12,35,38,42,78
"SLC9A3",18,33,34,15,4,23,33,20,34
"LRRC69",27,31,35,28,30,78,54,71,67
"ACBD3",366,612,1024,1390,1199,834,802,829,1180
"OR5I1",0,0,0,0,0,0,0,0,0
"TAS2R14",25,29,23,4,2,43,79,89,38
"SNORA10B",3,4,4,2,1,3,3,6,9
"METTL7A",116,75,154,246,67,258,169,354,659
"MPV17",230,378,503,170,192,555,597,581,785
"ASAH2",30,27,18,3,20,30,20,37,31
"ZRANB2-AS2",2,2,2,5,3,1,5,6,5
"MRPS36",44,93,146,110,81,153,111,104,186
"ZFAS1",474,917,1243,943,990,1105,1234,1048,1544
"RASSF2",815,1684,1940,1342,1178,2022,1819,2772,4060
"TSSC2",1,0,0,1,0,0,0,0,0
"STK16",120,208,205,144,131,264,291,210,396
"CISTR",0,0,0,0,0,0,0,0,0
"LOC105369747",16,21,19,0,1,63,48,39,67
"CACNA1E",0,0,2,0,0,2,1,2,0
"KRTAP13-3",0,0,0,0,0,0,0,0,0
"PLA2G4C",4,9,4,18,8,23,135,19,36
"DEFA3",0,0,0,0,0,0,0,0,1
"MPZL1",89,139,183,75,45,263,308,283,424
"BRWD1-AS2",3,8,4,1,3,3,7,2,10
"LAMC1",1,5,28,4,13,26,26,49,74
"MIR657",0,0,0,0,0,0,0,0,0
"HEBP1",60,150,179,99,87,212,268,210,307
"LOC105376975",1,2,1,2,0,0,0,3,0
"GOLGA8DP",0,0,0,0,0,0,0,0,0
"LINC01718",0,0,0,0,0,0,0,0,0
"LOC440434",87,158,197,117,144,260,244,266,280
"PLEK2",3,16,3,4,6,14,14,28,19
"NFATC2",3715,5660,6376,3222,3233,7666,7911,7499,8246
"LOC100507642",17,4,12,0,4,33,27,21,31
"MT3",0,0,0,0,0,0,2,0,0
"KRTAP4-9",0,0,0,0,0,0,0,0,0
"LOC101928048",0,0,0,0,0,0,0,0,0
"LINC02382",0,0,0,0,0,0,0,0,0
"PRPS1L1",1,0,2,1,0,1,0,2,2
"SPP1",0,0,1,0,0,0,0,0,0
"LINC01260",14,23,50,13,15,35,44,70,102
"TOB1-AS1",27,18,15,5,13,43,55,30,19
"KIRREL3",0,0,0,0,0,0,0,0,3
"SBK3",0,0,0,0,0,0,0,0,0
"PHB2",735,1417,1549,1719,1334,1741,2204,1665,2307
"LOC100289230",57,80,155,109,90,100,181,165,114
"MAN2C1",371,680,1127,519,616,887,850,986,1446
"PRKACA",548,821,879,425,544,1171,1318,1363,2077
"FADS6",0,0,0,0,0,0,0,0,0
"SLPI",0,0,0,0,1,0,0,0,0
"DGCR10",0,0,0,0,0,0,0,0,0
"LOC285626",4,1,3,0,1,5,5,3,0
"LOC100272217",3,0,12,1,2,12,11,7,4
"ASPRV1",5,16,10,7,6,27,23,29,28
"RTEL1-TNFRSF6B",0,0,0,0,0,0,0,0,0
"SNORA40C",0,0,1,2,1,2,1,0,1
"PAX9",3,1,17,1,4,6,4,4,6
